0.58,5.01,8.43,-0.14,0.09,0.03,25.6
0.43,5.76,8.18,0.14,0.07,-0.13,25.7
0.38,5.45,8.79,0.06,0.12,-0.17,25.8
0.21,5.73,7.43,0.28,-0.07,-0.28,25.9
0.32,6.03,8.35,0.00,0.11,-0.42,26
0.40,5.52,7.68,-0.01,0.00,-0.44,26.1
-1.61,5.42,7.34,-0.17,0.01,-0.28,26.2
-1.00,4.89,7.92,-0.56,-0.36,0.24,26.3
0.97,4.85,8.87,-0.41,0.07,0.59,26.4
0.83,4.29,8.73,-0.02,0.06,0.32,26.5
1.26,4.96,8.65,0.27,-0.36,0.05,26.6
0.84,5.39,4.65,0.68,-0.27,-0.30,26.7
-0.57,4.68,9.31,-0.80,0.32,-0.25,26.8
1.03,4.70,9.22,-0.29,-0.65,0.12,26.9
2.43,5.16,7.51,0.72,0.42,0.16,27
-1.98,5.74,9.28,0.53,0.62,-0.70,27.1
-1.25,4.66,10.70,-0.07,0.12,-0.05,27.2
-1.02,5.42,5.10,0.90,-0.39,-0.09,27.3
-0.80,7.06,6.37,0.31,-0.12,-0.05,27.4
-0.69,7.33,8.22,-0.21,0.04,-0.05,27.5
0.29,7.13,7.54,0.03,0.03,0.16,27.6
0.85,6.23,6.98,0.19,0.15,0.22,27.7
-0.21,6.12,7.19,0.03,-0.07,0.12,27.8
-1.16,6.53,7.89,0.00,-0.31,-0.12,27.9
-0.44,6.88,8.46,0.26,-0.44,-0.11,28
0.92,7.35,6.06,1.04,-1.21,-0.24,28.1
1.19,7.89,5.18,0.61,-0.74,-0.23,28.2
1.88,7.94,5.32,0.21,-0.23,0.01,28.3
0.74,8.54,4.75,0.26,0.23,-0.13,28.4
-0.31,9.26,3.74,0.16,0.52,-0.17,28.5
0.66,8.08,5.40,-0.02,0.64,0.07,28.6
0.84,7.23,5.49,0.13,0.57,0.09,28.7
-0.01,8.25,5.63,0.15,0.03,-0.22,28.8
-0.63,9.26,3.70,0.15,-0.15,-0.13,28.9
